(38.544664366666666, -121.70811933333333)
(38.5446661, -121.70812105)
(38.54466695, -121.70812)
(38.54466741666667, -121.7081177)
(38.54466756666667, -121.70811005)
(38.544668433333335, -121.70810613333333)
(38.54466865, -121.7081065)
(38.544666183333334, -121.70810886666666)
(38.54466586666667, -121.7081084)
(38.5446653, -121.70810883333333)
(38.54466495, -121.70810921666667)
(38.54466468333333, -121.7081096)
(38.5446645, -121.70810985)
(38.54466445, -121.70810993333333)
(38.54466445, -121.70810996666667)
(38.5446637, -121.70811075)
(38.544662833333334, -121.7081117)
(38.54466261666666, -121.70811186666667)
(38.544662583333334, -121.70811188333333)
(38.54466251666667, -121.70811193333333)
(38.54466231666667, -121.70811218333333)
(38.54466215, -121.7081124)
(38.54466195, -121.7081126)
(38.5446618, -121.70811275)
(38.54466178333333, -121.7081128)
(38.5446617, -121.70811285)
(38.54466158333334, -121.70811298333334)
(38.544661233333336, -121.7081134)
(38.5446613, -121.70811326666667)
(38.54466141666666, -121.70811311666667)
(38.5446613, -121.7081132)
(38.54466133333333, -121.70811325)
(38.544661233333336, -121.7081134)
(38.54466121666667, -121.7081134)
(38.544661133333335, -121.70811346666666)
(38.54466106666667, -121.70811356666667)
(38.544661, -121.70811363333334)
(38.54466105, -121.70811353333333)
(38.544661033333334, -121.7081135)
(38.5446608, -121.70811375)
(38.54466081666666, -121.70811376666667)
(38.5446608, -121.70811383333333)
(38.54466075, -121.70811383333333)
(38.5446609, -121.7081136)
(38.54466065, -121.70811388333334)
(38.544660216666664, -121.70811436666666)
